date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA
2014-03-30,Liverpool,Tottenham,1.48,4.75,7.5,1.42,4.6,7.0
2014-03-31,Sunderland,West Ham,2.3,3.3,3.5,2.2,3.25,3.3
2014-04-05,Aston Villa,Fulham,2.05,3.5,4.0,1.95,3.4,3.9
2014-04-05,Cardiff,Crystal Palace,2.45,3.25,3.25,2.25,3.2,3.25
2014-04-05,Chelsea,Stoke,1.29,6.0,13.0,1.23,5.75,13.0
2014-04-05,Hull,Swansea,2.75,3.3,2.8,2.5,3.1,2.9
2014-04-05,Man City,Southampton,1.33,5.75,10.0,1.3,5.5,8.75
2014-04-05,Newcastle,Man United,4.2,3.7,1.95,4.0,3.5,1.88
2014-04-05,Norwich,West Brom,2.4,3.3,3.25,2.35,3.25,3.0
2014-04-06,Everton,Arsenal,2.5,3.4,3.0,2.4,3.25,2.95
2014-04-06,West Ham,Liverpool,9.0,5.0,1.4,7.75,5.0,1.36
2014-04-07,Tottenham,Sunderland,1.57,4.2,6.5,1.55,3.9,6.0
2014-04-12,Crystal Palace,Aston Villa,2.15,3.3,3.9,2.1,3.25,3.5
2014-04-12,Fulham,Norwich,2.15,3.5,3.6,2.15,3.2,3.4
2014-04-12,Southampton,Cardiff,1.45,4.75,8.0,1.45,4.33,6.5
